caminho_imagem,texto_busca
images/3139876823_859c7d7c23.jpg,A downhill skier in black catches a tiny bit of air
images/3133403457_95dfe11da1.jpg,A child wearing big green fist gloves .
images/244910130_e1f823a28a.jpg,A dark haired bearded man in glasses and a Hawaiian shirt is sitting on the grass .
images/2127207912_9298824e66.jpg,"The two people are standing on a rock , holding themselves up against another rock , while looking down"
images/1810651611_35aae644fb.jpg,A closeup of a little girl on a swing .
images/2271264741_aa8f73f87c.jpg,Two dogs are running together down a with path covered in dead leaves .
images/1813777902_07d1d4b00c.jpg,a boy dressed as a pirate smiles largley .
images/146577646_9e64b8c2dc.jpg,A kayaker is battling waves in a purple boat while wearing rain gear .
images/127490019_7c5c08cb11.jpg,A girl is getting ready to swing the club .
images/3404012438_9baf8dcbaf.jpg,A dog chasing a duck in a pond .
images/3676561090_9828a9f6d0.jpg,A dog rolls in the grass .
images/3335885203_a3fe8e541f.jpg,A female rugby player runs with a rugby ball during a match .
images/411175971_0fffd3b8c6.jpg,A brown dog is shown standing in the water near a muddy beach .
images/3220151692_d398ef9779.jpg,A sumo wrestler in black begins to push another in blue out of the ring .
images/3483140026_e14f64fdf5.jpg,A man in a hardhat stands beside a ladder .
images/2603033456_3584d95116.jpg,A boy in a white t-shirt is splashing in shallow water .
images/3396036947_0af6c3aab7.jpg,A boy on a swing .
images/2762301555_48a0d0aa24.jpg,A girl is cold after coming out of the pool and is covered by a towel .
images/2644430445_47c985a2ee.jpg,A girl in a red shirt takes a picture on a phone .
images/2832453252_a06f7826a8.jpg,Four children are playing in some water .
images/2885912662_a3a2dfde45.jpg,A small girl chases a pink ball over the gravel driveway .
images/3367053761_8ec5834bf3.jpg,A girl with a bun is sitting at a desk .
images/272283076_2d4aa1d5cf.jpg,a man in a white shirt is climbing a wall while another man watches
images/3128164023_ebe8da4c32.jpg,Dogs chase each other .
images/3123770450_cedc16d162.jpg,a deer and several turkeys together in the snow
images/3182161610_4d349b257f.jpg,Some toddlers are playing in a foam playpen .
images/3056530884_27766059bc.jpg,Two dark haired girls are on a tire swing .
images/3422146099_35ffc8680e.jpg,A brown dog jumping over a pole .
images/2192333873_2a0cbe849d.jpg,A boy is flying down a snow covered slope on his sled .
images/3477712686_8428614c75.jpg,Two boys wrestling in the sand while a man looks on
images/3695517194_2a6b604cb2.jpg,"A black soccer male soccer player in a purple uniform with a soccer ball on his head , and a white male soccer player in a white uniform behind him ."
images/424506167_01f365726b.jpg,A large and small dog interact in a grassy field .
images/95728660_d47de66544.jpg,A guy is riding a bike up the side of a hill .
images/2670637584_d96efb8afa.jpg,"A child in a blue shirt sitting on a forest floor , looking through binoculars ."
images/3341084434_db5e7d1fdc.jpg,A downhill slalom skier leaning through a turn .
images/3159641529_c2c74f3eaf.jpg,A dog leaps across the grass .
images/3004291289_c4892898ae.jpg,a blonde haired girl in an Obama t-shirt is smiling at the camera .
images/3333017828_b930b9d41b.jpg,A dog runs along a beach near the waves .
images/303795791_98ebc1d19a.jpg,One small dog chases another across grass .
images/319847657_2c40e14113.jpg,A girl in a purple shirt holds a pillow .
images/3576259024_9c05b163aa.jpg,A man in blue jumping a dirt bike .
images/47870024_73a4481f7d.jpg,A boy in yellow is riding a scooter on the street .
images/572618443_647483ca82.jpg,A man and two boys standing in spraying water .
images/3009383694_e045c6169e.jpg,A man is bungee jumping from a platform whilst being watched by someone above him .
images/3206919175_e3a11b6874.jpg,A group of people gather with only their legs showing and one of them is holding a cigarette .
images/3204081508_0e7f408097.jpg,A group of people are lounging at a beach .
images/3599392711_8264881de2.jpg,A man is presenting a certificate to three young sumo wrestlers .
images/3685328542_ab999b83bb.jpg,A dark man in a white and green feathered mask with green jewelry and pants .
images/494907021_321e82877a.jpg,A group of children playing with props
images/2515247156_c1b759fc33.jpg,A boy goes down a blue slide with his eyes closed .
images/3044359043_627488ddf0.jpg,A black and white dog with a green collar stands in front of a sign .
images/3700004668_99c3e3f55b.jpg,A boy with his mouth wide open dressed in a yellow life jacket and goggles in water with a man next to him .
images/405961988_fcfe97f31e.jpg,A construction worker drills a hole into the ground .
images/252124738_796599e94b.jpg,A couple sitting together while the man eats corn .
images/3095137758_bdd1e613dd.jpg,A man dressed as Santa rides in a parade .
images/1434607942_da5432c28c.jpg,A child rides on a man 's shoulders .
images/148512773_bae6901fd6.jpg,A couple enjoys a quiet moment near the river .
images/2866254827_9a8f592017.jpg,A man on a motorcycle riding on his back tire .
images/312427606_defa0dfaa8.jpg,A blond-hair girl is eating a peach .
images/3388330419_85d72f7cda.jpg,Children dancing on hardwood flooring .
images/3174196837_800689a2f3.jpg,A group of dogs run through the snowy field .
images/3053785363_50392f2c53.jpg,A group of girls playing field hockey .
images/2546667441_bbe87a6285.jpg,A black dog is walking along the grass sniffing at the ground .
images/3167365436_c379bda282.jpg,A man and a woman wearing a head covering turn the video camera on themselves .
images/3532028205_9ddd7599f8.jpg,"A hockey player crouches slightly , with a full crowd in the background ."
images/2313822078_282dc07531.jpg,A child swings on his stomach on a tire swing amidst trees .
images/3477977145_4df89d69a1.jpg,Two dogs are running around a dog track wearing muzzles .
images/2115849046_2aa9fa8d13.jpg,A brown dog running on shore with a boat in the background .
images/2855695119_4342aae0a3.jpg,A brown and white dog goes into water while looking back .
images/360723732_23199af4bf.jpg,A black and white dog has a red toy in his mouth and is jumping .
images/3631810528_7233c0f421.jpg,A man sits next to a woman on a bus .
images/2406591500_403f145905.jpg,One young boy in a striped shirt is chasing another boy on a path through the jungle .
images/2049051050_20359a434a.jpg,A girl in a black jacket and hat is covered in a pink blanket
images/3225880532_c8d5d1d798.jpg,A man in a red coat and hat talks to another man in red .
images/2778290592_1910bb0431.jpg,A greyhound races on the dirt .
images/1299459562_ed0e064aee.jpg,"Three boys in baggy bathing suits play in splashing water in front a of grey , block wall ."
images/3169777863_d745865784.jpg,A group of dancers wearing black spandex are dancing in a studio .
images/3139160252_75109e9e05.jpg,Three girls are posing for a picture beside a dresser in front of a decorated Christmas tree .
images/278105206_df987b0ca0.jpg,a balck and tan dog running through the snow .
images/3364160101_c5e6c52b25.jpg,A game of hockey is being played .
images/3653764864_225958c9c1.jpg,A number of people ascending a zig-zag ramp with bright blue railings .
images/1932161768_996eadac87.jpg,a small dog steps onto a log .
images/2649705487_4605e879e9.jpg,"A woman in yellow , jogging ."
images/3458379941_657182bb09.jpg,a boy under an umbrella is held by his father who is wearing a blue coat
images/2665586311_9a5f4e3fbe.jpg,"A girl in pink pants running , an ornate Spanish ruin in the background ."
images/2684489465_32ba1d0344.jpg,a small dog jumps over a jump .
images/2873431806_86a56cdae8.jpg,A child wearing pink boots is splashing in a puddle behind the red truck .
images/3123351642_3794f2f601.jpg,A snowboarder in bright green performing a jump at a competition .
images/3373946160_1c82d54442.jpg,A black and brown dog rolls around in the grass .
images/2385871165_9438c9fe84.jpg,A closeup of a man in glasses looking at the camera .
images/2554081584_233bdf289a.jpg,a climber is between two large red rocks .
images/3251648670_9339943ba2.jpg,Two boys are running in a metal barrel .
images/2428275562_4bde2bc5ea.jpg,A
images/1347519824_e402241e4f.jpg,A few girls with green foam statue of liberty hats on a train
images/3451523035_b61d79f6a8.jpg,A few horses race each other on the track .
images/2798880731_4f51634374.jpg,A dad celebrates a birthday with his family via web cam .
images/3134586018_ae03ba20a0.jpg,A couple wearing winter coats posing together .
images/3211453055_05cbfe37cd.jpg,A man and a woman on a ski lift .
images/3565749152_7924d15b04.jpg,A dog catches a Frisbee in the front yard .
images/2990563425_2f7246f458.jpg,A dirt bike rider catches some air going off a large hill
images/700884207_d3ec546494.jpg,A baby is dressed up in pink gear and staring while an adult holds her steady .
images/2792409624_2731b1072c.jpg,A black and white dog is drooling whilst walking on the grass .
images/3355494822_61353a224d.jpg,a lone skier skiing through the snow .
images/3249738122_decde6c117.jpg,a crowd cheers on a sled dog racer .
images/2847514745_9a35493023.jpg,A group of people sit near a large red brick building in the grass .
